SAMPLE,LON,LAT,HEIGHT,AHE,DAHE,AFT,DAFT,ZHE,DZHE,ZFT,DZFT
T01,105.07639025,0.50212533,1.021,0.420,0.080,,,,,,
T02,105.22018317,0.50212205,1.092,0.355,0.080,,,,,,
T03,105.36397469,0.50211558,0.915,0.438,0.080,,,,,,
T04,105.50776391,0.50210593,0.892,0.503,0.080,,,,,,
T05,105.07638881,0.35736852,0.882,0.478,0.080,,,,,,
T06,105.22017902,0.35736619,1.022,0.367,0.080,,,,,,
T07,105.36396784,0.35736159,0.948,0.391,0.080,,,,,,
T08,105.50775436,0.35735472,0.862,0.493,0.080,,,,,,
T09,105.07638785,0.21261167,0.494,0.771,0.080,,,,,,
T10,105.22017627,0.21261028,0.577,0.694,0.080,,,,,,
T11,105.36396330,0.21260754,0.807,0.515,0.080,,,,,,
T12,105.50774802,0.21260346,0.716,0.617,0.080,,,,,,
T13,105.07638738,0.06785479,0.279,0.889,0.080,,,,,,
T14,105.22017492,0.06785435,0.303,0.854,0.080,,,,,,
T15,105.36396106,0.06785347,0.360,0.781,0.080,,,,,,
T16,105.50774490,0.06785217,0.343,0.842,0.080,,,,,,
