sample_id,lon,lat,elevation,system,observed_age,sigma,reference,exhumation_rate_km_per_myr
LM225,103.59,31.38,2305.0,ZHe,15.0,0.4,"(Godard et al., 2009)",0.53
LM226,103.59,31.38,2305.0,ZHe,23.2,0.7,"(Godard et al., 2009)",0.34
LM227,103.6,31.38,2246.0,ZHe,26.3,3.4,"(Godard et al., 2009)",0.29
LM229,103.58,31.42,2240.0,ZHe,22.2,4.2,"(Godard et al., 2009)",0.34
LM256,103.49,31.44,2625.0,ZHe,12.4,1.9,"(Godard et al., 2009)",0.61
W1425,103.53,31.41,1802.0,ZHe,9.1,1.1,"(Godard et al., 2009)",0.76
W1848,103.5,31.44,3115.0,ZHe,7.4,1.3,"(Godard et al., 2009)",0.93
W2093,103.5,31.44,3115.0,ZHe,8.6,0.3,"(Godard et al., 2009)",0.83
W2130,103.5,31.44,3115.0,ZHe,11.1,0.5,"(Godard et al., 2009)",0.48
SC064,103.86,31.36,2654.0,ZHe,19.8,0.8,"(Godard et al., 2009)",0.38
SC074,103.54,31.2,2293.0,ZHe,20.6,0.9,"(Godard et al., 2009)",0.37
SC079,103.52,31.2,2248.0,ZHe,5.9,4.1,"(Godard et al., 2009)",1.07
SC081,103.5,31.21,1846.0,ZHe,9.9,0.4,"(Godard et al., 2009)",0.69
LM195,103.75,31.33,2458.0,ZHe,11.6,0.5,"(Godard et al., 2009)",0.58
LM231,103.52,31.39,1586.0,ZHe,10.1,0.4,"(Godard et al., 2009)",0.68
LM234,103.49,31.24,1165.0,ZHe,17.0,0.7,"(Godard et al., 2009)",0.43
LM235,103.48,31.11,1761.0,ZHe,18.6,0.8,"(Godard et al., 2009)",0.39
SC083,103.33,31.07,2454.0,ZHe,12.5,0.5,"(Godard et al., 2009)",0.56
SC084,103.36,31.06,2298.0,ZHe,6.3,0.3,"(Godard et al., 2009)",1.02
SC085,103.47,31.07,1658.0,ZHe,60.7,2.5,"(Godard et al., 2009)",0.12
LM198,103.85,31.13,822.0,ZHe,193.9,7.8,"(Godard et al., 2009)",0.04
LM208,104.03,31.35,1097.0,ZHe,228.7,9.2,"(Godard et al., 2009)",0.03
LM213,103.58,31.03,1141.0,ZHe,466.1,18.7,"(Godard et al., 2009)",0.02
