SAMPLE,LON,LAT,HEIGHT,AHE,DAHE,AFT,DAFT,ZHE,DZHE,ZFT,DZFT
W1425,103.53,31.41,1802.0,2.7,0.1,,,9.1,1.1,,
W1848,103.5,31.44,3115.0,2.3,0.1,,,7.4,1.3,,
W2093,103.5,31.44,3115.0,2.3,0.1,,,8.6,0.3,,
SC079,103.52,31.2,2248.0,,,,,5.9,4.1,,
SC081,103.5,31.21,1846.0,,,,,9.9,0.4,,
SC084,103.36,31.06,2298.0,,,,,6.3,0.3,,
HKT15,103.17,31.02,2386.0,,,4.9,0.5,,,,
LM03,103.49,31.14,1034.0,,,4.0,1.8,,,,
LM04,103.49,31.2,1190.0,,,8.9,1.3,,,,
LM07,103.45,31.07,2114.0,,,4.9,0.3,,,,
SC062,103.9,31.35,1741.0,4.8,0.2,,,,,,
SC065,103.85,31.36,3083.0,4.6,0.2,,,,,,
LMW-02,103.64,31.39,3585.0,0.8,0.6,,,,,,
LMW-08,103.65,31.44,1857.0,8.5,0.6,,,,,,
LME-09,103.65,31.29,3240.0,7.1,1.1,,,,,,
LME-11,103.65,31.29,3240.0,2.9,0.2,,,,,,
LME-13,103.65,31.29,3240.0,4.9,0.7,,,,,,
LME-15,103.66,31.28,2300.0,7.7,1.9,,,,,,
LME-16,103.65,31.27,2579.0,2.1,0.2,,,,,,
LME-17,103.65,31.23,1623.0,2.5,0.1,,,,,,
LME-18,103.64,31.22,1718.0,2.9,0.4,,,,,,
LME-19,103.66,31.17,1201.0,4.7,0.4,,,,,,
LME-20,103.67,31.16,1793.0,4.1,0.3,,,,,,
